team,team_id,home_wins,home_draws,home_losses,home_goals_scored,home_goals_conceded,home_goal_difference,home_pts,home_pts/mp,home_xG,home_xGA,home_xGD,home_xGD/90,away_matches_played,away_wins,away_draws,away_losses,away_goals_scored,away_goals_conceded,away_goal_difference,away_pts,away_pts/mp,away_xG,away_xGA,away_xGD,away_xGD/90
Arsenal,1,10,6,2,34,17,17,36,2.0,29.2,12.8,16.4,0.91,17,8,7,2,30,14,16,31,1.82,25.2,17.2,8.1,0.47
Man City,13,12,3,3,40,22,18,39,2.17,35.9,21.4,14.5,0.8,17,7,4,6,27,21,6,25,1.47,26.0,23.8,2.2,0.13
Newcastle,15,11,2,4,38,19,19,35,2.06,30.2,20.7,9.5,0.56,17,8,3,6,27,25,2,27,1.59,27.6,21.7,5.9,0.35
Chelsea,6,10,5,2,31,17,14,35,2.06,33.3,17.6,15.6,0.92,17,7,4,6,28,23,5,25,1.47,28.9,25.6,3.3,0.19
Nott'm Forest,16,9,4,4,24,13,11,31,1.82,20.4,17.7,2.7,0.16,17,9,2,6,29,28,1,29,1.71,20.0,25.7,-5.7,-0.33
Aston Villa,2,10,7,1,32,20,12,37,2.06,32.0,17.8,14.2,0.79,17,7,2,8,23,29,-6,23,1.35,21.2,27.9,-6.7,-0.39
Bournemouth,3,7,4,6,21,15,6,25,1.47,29.0,21.1,7.9,0.47,18,7,7,4,34,27,7,28,1.56,31.6,24.7,6.9,0.38
Fulham,9,7,5,5,26,25,1,26,1.53,20.0,18.8,1.2,0.07,18,7,4,7,24,22,2,25,1.39,25.9,21.7,4.1,0.23
Brighton,5,7,7,3,26,23,3,28,1.65,27.6,20.8,6.8,0.4,17,6,5,6,30,32,-2,23,1.35,24.4,26.9,-2.4,-0.14
Brentford,4,8,4,5,34,29,5,28,1.65,29.8,25.6,4.2,0.24,17,6,3,8,24,21,3,21,1.24,21.1,25.3,-4.2,-0.25
Crystal Palace,7,5,6,6,19,23,-4,21,1.24,26.6,19.9,6.6,0.39,17,6,6,5,24,24,0,24,1.41,24.8,24.2,0.5,0.03
Wolves,20,6,2,9,26,29,-3,20,1.18,21.4,26.1,-4.7,-0.28,18,6,3,9,25,33,-8,21,1.17,19.0,27.4,-8.4,-0.47
Everton,8,4,9,5,24,23,1,21,1.17,20.2,21.6,-1.4,-0.08,17,4,6,7,12,20,-8,18,1.06,16.6,21.4,-4.8,-0.28
Man Utd,14,6,3,8,21,26,-5,21,1.24,24.9,23.9,1.0,0.06,17,4,6,7,18,21,-3,18,1.06,20.8,24.3,-3.5,-0.2
Spurs,18,6,3,8,34,29,5,21,1.24,30.7,28.5,2.2,0.13,17,5,1,11,28,27,1,16,0.94,24.1,27.0,-2.9,-0.17
West Ham,19,5,4,8,21,31,-10,19,1.12,20.8,29.5,-8.6,-0.51,17,4,5,8,18,27,-9,17,1.0,21.4,24.7,-3.2,-0.19
Ipswich,10,1,4,12,13,40,-27,7,0.41,15.2,30.6,-15.4,-0.91,18,3,6,9,22,36,-14,15,0.83,16.1,38.9,-22.7,-1.26
Leicester,11,3,3,12,13,34,-21,12,0.67,15.9,30.9,-15.0,-0.83,17,2,3,12,16,42,-26,9,0.53,14.5,36.6,-22.2,-1.31
Southampton,17,1,2,14,12,45,-33,5,0.29,16.5,42.3,-25.8,-1.52,18,1,3,14,13,37,-24,6,0.33,14.2,35.6,-21.5,-1.19
